From/To,02-business,04-application,05-technology,06-api,07-data-model,Total
apm-business-metrics,1,1,0,1,0,3
apm-criticality,0,0,0,1,0,1
apm-data-quality-metrics,0,0,0,0,1,1
apm-sla-target-availability,0,1,1,1,0,3
apm-sla-target-latency,0,1,1,1,0,3
apm-trace,0,0,0,1,0,1
archimate-ref,0,0,0,1,1,2
business-interface-ref,0,0,0,1,0,1
business-metrics,1,1,0,1,0,3
business-object-ref,0,0,0,0,1,1
business-service-ref,0,0,0,1,0,1
classification,0,0,1,0,0,1
constrained-by,0,0,2,2,0,4
data-governance,0,0,0,0,1,1
database,0,0,0,0,1,1
database-column,0,0,0,1,0,1
database-table,0,0,0,1,0,1
delivers-value,1,1,0,0,0,2
encrypted,0,0,0,1,0,1
encryption-required,0,0,1,0,0,1
encryption-type,0,0,1,0,0,1
fulfills-requirements,0,2,2,2,0,6
governance-owner,1,0,0,0,0,1
governed-by-principles,2,2,2,2,0,8
health-check-endpoint,0,0,1,0,0,1
health-monitored,0,0,1,0,0,1
master-data-source,1,0,0,0,0,1
pii,0,1,2,2,0,5
process-steps,1,0,0,0,0,1
realized-by-process,1,0,0,0,0,1
represented-by-dataobject,1,0,0,0,0,1
required-permissions,0,0,0,1,0,1
retention,0,1,0,0,0,1
security-controls,1,0,0,0,0,1
security-resource,0,0,0,1,0,1
separation-of-duty,1,0,0,0,0,1
sla-target-availability,0,1,1,1,0,3
sla-target-latency,0,1,1,1,0,3
supports-goals,2,2,2,2,0,8
traced,0,1,0,0,0,1
Total,14,16,19,26,5,80
